This will , if not already , caused problems as there are very limited spaces for us .|||7~8~Vform~cause	14~15~Nn~space
This was even much more obvious shown in this century , where the standard of living of the generation X 's improved compare to the past .|||1~2~Vt~is
To ease or slow down aging process is to have the ability to lengthen the lifespan of our youthful healthy days .|||5~5~ArtOrDet~the
As such , life extension is the main concept that most company is engaging to target aging issues .|||11~13~Vform~companies are
However , mostly they work and agree on the same common theory , which is the importance of keeping a stable blood sugar levels , achieved in part by managing the glycemic indices of food choices .|||23~24~Nn~level
In addition , Anti-aging creams such as " Olay " and " Loreal " is also getting more popular and commonly use in both woman and man .|||22~23~Prep~by
[ 2 ] Despite great demand , many such products and treatments have not been proven to give lasting or major positive effects .|||14~16~Vform~proved
Another issues connected with aging process is the terror of memory loss .|||4~4~ArtOrDet~the
Currently in the market , they is brain supplement such as " Prevagen " and " Essential Youth " [ 4 ] ; product which claims to have remarkable formula , which can help old people look younger , feel better , think faster , remember more clearly , thus enjoy their life again is out in display in all corners of the shopping and healthcare centre .|||6~7~Vt~are	8~9~Nn~supplements	23~24~Nn~products
These products were advertised with the support from TV artist and prove documentation testing from scientist .|||9~10~Nn~artists	15~16~Nn~scientists
However , these 2 researches involve debatable points in ethics and religion which need to be resolve .|||16~17~Vt~resolved
Aging is a process which can not be stop and it is going to be a much more critical emergency issue to the mankind in the next decades , while the ratio of working adult and to the old is further reduce to one-one .|||8~9~Vt~stopped	27~28~Nn~decade
It is a problem that every country is facing , and if it is not properly deal with , it will held back the country 's development and be an economy hindrance .|||16~17~Vt~dealt	21~22~Vt~hold	30~31~Vt~economic
With education , detail and proper planning now will help to ease numerous problems that the country and family will face as the population agers .|||8~8~Vt~it
I think there are two kinds of technology that contribute a lot to the increase of the life expectancy of people .|||15~16~Prep~in
When it comes to the information technology , every young man should be familiar with it .|||4~5~ArtOrDet~
However , it seems that the information technology is not very popular among the old .|||5~6~ArtOrDet~
Thus , it seems that the information technology does not help the adults a lot .|||5~6~ArtOrDet~
However , the producers are trying to produce the products particularly for the old .|||8~9~ArtOrDet~
With these tools , for example , mobile phone , the old can get in touch with their sons or daughters easily .|||8~9~Nn~phones
Thus , these tools will both help them both physically and mentally .|||5~6~ArtOrDet~
If the walking stick finds anything wrong , it will send a message to a healthcare center and the center will get the information of where the people is and send a nurse to take of the people .|||27~28~Nn~person
There also have hearing aids to help old people listen clearly and electronic wheelchair to help old people go out conveniently .|||13~14~Nn~wheelchairs
The technology really help the old a lot at easing the aging process .|||0~2~ArtOrDet~Technology	8~9~Prep~in
For the case of developments in terms of Architecture , it has been true thus far .|||0~1~Prep~In
Moving around in a speed and mobility which they had decades ago was not possible , but Architecture has changed our homes in a manner which assured that the elderly can at least move around without facing much difficulties .|||2~3~Prep~at	37~38~Nn~many
Another of such feature will be homes with wider corridors .|||1~2~Prep~
Elderly has always been stereotyped as people who are prone to slipping and injuring themselves .|||0~1~ArtOrDet~The elderly
In parts of homes where a staircase must inevitably be built , handrails or barristers can be built for support if the elderly wishes to climb the stairs .|||3~4~ArtOrDet~the home
As the number of elderly that live alone rise , the government saw the need to provide special housing for them .|||12~13~Vt~has seen
Architecture has raised the standards of living up to a stage where even elderly that have low mobility are able to move around as they wish .|||13~13~ArtOrDet~the
There are many physical and mental ailments that often arise from aging , such as brain degeneration , discriminations from the public , social isolation and no sense of direction in life .|||18~19~Nn~discrimination
To reduce the negative impact of aging process , it is therefore important to create a role model for the elderly , eliminate ageism in the society , and improve detection of depression and encouraging lifelong learning .|||6~6~ArtOrDet~the
For example , there is a controversy why many people believe that when we were young and forgetful , the reason for forgetfulness is because we have too many stuff on our mind .|||26~27~Vt~had	28~29~Nn~much
One way of fighting ageism is educating the people of the adverse effects of old aged stereotyping is important .|||9~10~Prep~about
In a study done by Levy and her colleague , older individuals with more positive self-perception of aging lived 7.5 years longer than those with less positive self-perceptions of aging [ 3 ] .|||13~13~ArtOrDet~a	27~28~Nn~self-perception
Therefore a possible solution is to increase the number of doctoral-level trained geropsychologists ( Psychologists for the elderly ) and make age-related information more available to researchers , practitioners and students to help improve in detection and treatment .|||34~35~Prep~
In a book " Learning Later , Living Greater " co written by Nancy Merz Nordstrom and Jon F.Merz , the authors highlighted the benefits presented with supporting case study on lifelong learning .|||29~30~Nn~studies
However taking a look around us today , current research , development and various policies have evolved to an extent large enough to dismiss our concerns with a greying population .|||26~27~Prep~about
First , the local government has done much to introduce various measures in helping to lessen the economical load on the elderly .|||12~15~Vform~to help
In the area of healthcare policies , there are a handful of available measures which have essentially helped eased the ageing process .|||18~19~Vform~ease
This measure curbs the elder 's worry of escalating healthcare costs , which they find themselves more liable to in their older years .|||18~19~Prep~for
Ageing process is made easier as worry for health issues and expenses are greatly reduced .|||0~1~ArtOrDet~The ageing	7~8~Prep~about
Today , the concerns involved with the ageing process have been curbed in a wide array and a majority of our concerns with a greying population are dismissed .|||22~23~Prep~about	26~27~Vt~have been
People today are able to ease aging process because of the current research and development .|||6~6~ArtOrDet~the	10~11~ArtOrDet~
In psychology studies , scientists analysed human mental functions and behaviours and came out with solutions to help elderly ease their process of aging .|||18~18~ArtOrDet~the
Through research , psychologists found out that elderly gets depress easily .|||8~10~Vt~get depressed
Therefore , aging process can be eased by helping the elderly develop a positive attitude towards life .|||2~2~ArtOrDet~the
Elderly tends to think that they are incompetent and useless as they no long contributes to the society .|||0~1~ArtOrDet~The elderly	13~15~Vform~longer contribute	16~17~ArtOrDet~
[ 5 ] They often feel lonely and helpless as they have no one to confide to .|||16~17~Vform~in
In this way , elderly can get involved in community activities which in turn make them look forward to the next session .|||4~4~ArtOrDet~the
Exercise can help them to improve blood circulation , bone strength and immune systems functions .|||13~14~Nn~system
Easing aging process is just about making them feel better .|||1~1~ArtOrDet~the
Care the old|||0~1~Vform~Caring for
Thirdly , limiting the public spending on the aged will surely increase the load over the youth .|||3~4~ArtOrDet~	14~15~Vt~on
Let us imagine , if the aged people are in starvation , how can the government still limits the public spending and use the money on other areas , regardless of thousands of lives .|||9~11~Vform~starving	18~19~ArtOrDet~
It looks like that exchanging the development with people 's lives .|||3~4~ArtOrDet~	5~6~ArtOrDet~
For instance , after the war , the government of Iraq tried to collect money for the public spending and basic reconstruction .|||16~17~ArtOrDet~
In the case of Iraq , satisfying the basic needs of people is the most important thing which should be put first .|||11~11~ArtOrDet~the
For some elderly person , public spending is the only source of their income .|||3~4~Nn~people
Limiting the public spending will make it harder for them to live through , especially for those old people who have no children and in poor physical condition .|||1~2~ArtOrDet~	16~17~ArtOrDet~
Most interesting thing is that voters are tended to vote for those who approve the usage of money on public spending .|||0~1~ArtOrDet~The most	6~8~Vform~tend
So government should not limit public spending in case of the complaints and indignation from the public .|||1~1~ArtOrDet~the	10~11~ArtOrDet~
Finally , limiting public spending will surely increase the burden on the youth , since they will share much more responsibilities of supporting the aged .|||20~22~Nn~responsibility for
Some people may say that offering sufficient public spending will make the aged more rely on government .|||16~16~ArtOrDet~the
The aged still try their best to create values for the society .|||8~9~Nn~value	10~13~ArtOrDet~society
The aged should be cared by the societyTheir basic needs should be satisfied first , then countries ' development can be talked .|||6~7~ArtOrDet~	16~16~ArtOrDet~the
Aging population is a global phenomenon which affects economic growth , sustainability within families and public spending .|||1~3~Nn~populations are
This results in severe financial stresses for the working population .|||5~6~Nn~stress
Military is a need for defense of the nation .|||0~1~ArtOrDet~The military	2~4~Vt~needed	5~5~ArtOrDet~the
Public spending on technology can not be reduced as it is a substitute for the decline in productivity with a shrinking workforce .|||18~19~Prep~of
If taxes are raised substantially it would even worsen the severe financial stresses for the working population and adversely impact the consumer market .|||12~13~Nn~stress
The government should limit on public spending on healthcare for the aged , and the limit should satisfy the healthcare needs of all the elderly .|||4~5~Prep~
Wants are usually specialist services that perform detailed checkups to determine the underlying cause of the illness , analysis of patients ' symptoms to predict illnesses they might contract and certain pharmaceutical medicine which acts as supplements .|||32~33~Nn~medicines
Therefore , individuals should pay for what is wanted and only needs are being subsidized the government to reduce public spending on healthcare for the aged .|||15~15~Prep~by
Although , the public spending on the aged has to be limited , it can not neglect the social needs of the elderly .|||2~3~ArtOrDet~
After all , it is only morally right to do so as the elderly were once part of the working populations that contributed to the nation and they now form a significant portion of the population .|||20~21~Nn~population
This would reduce their dependence on children or government to support them , and not hinder the growth of other areas of country development when these other areas receive fewer funds due to the increasing amount of funds being diverted into helping the growing aged population .|||22~22~ArtOrDet~the
As psychology develops , it has benefitted human a lot , helping people know more about themselves .|||7~8~Nn~humans
According to statistics from the World Health Organization , seven to ten percents of the elderly population have depression problems ( Baidu , 2009 ) .|||12~13~Nn~percent
However , as the psychology advances , elderly depression can be dealt with through psychological means .|||3~4~ArtOrDet~
For example , a qualified psychological consultant is able to offer an old person constructive suggestions of preventing depression such as keeping a positive attitude towards aging , developing hobbies and participating in social activities , which can activate the old person 's mind .|||16~18~Vform~on how to prevent
Probably elderly depression would be prevented from happening to the old person with active mind and lots of emotional support .|||9~12~Nn~old people	14~15~Nn~minds
For instance , psychological doctors can address the importance of sports as appropriate amount of sports can keep the old people 's body and mind on .|||18~19~ArtOrDet~	22~23~Nn~bodies	24~25~Nn~minds
Speaking out personal experience and difficulties in life is a good way of letting off negative mood for old people .|||3~4~Nn~experiences
By continuous self learning , the elderly is able to refresh their mind and keep up with the pace of time .|||12~13~Nn~minds
On the other hand , with life-long learning , the old is more competitive in the working force because they possess new knowledge needed in a new age and have profound working experience , which is an advantage over the young .|||16~17~Nn~work
With the population of aged getting larger in the society , a big sum of money is involved in helping the aged .|||8~11~ArtOrDet~society
If this huge amount of spending is reduced , but in turn , spend on the other areas for the country 's development , the wealth of the country can reach a balance point .|||13~14~Vt~spent	15~16~ArtOrDet~
With sufficient fund , the country can spend on manpower , education , investment , construction and other aspects to aid in its development .|||2~3~Nn~funds
Nevertheless , a government can still provide fund for the aged .|||7~8~Nn~funds
In this survey , the elderly can state down whether they do receive any forms of subsidy from their families , where do they stay with , and whether they are interested to apply for financial assistance .|||11~12~Vform~
On top of that , it ensures that their contributions to the country 's economy still do exist .|||16~17~Vform~
By doing so , the country could differentiate them from the rest of the elderly that they do not need any forms of financial aid , because they already have enough to finance themselves .|||21~22~Nn~form
On the other hand , for those who are really in need , they can apply for the subsidy to receive a certain amount of funding every month .|||17~19~Nn~subsidies
A well-developed country can bring wealth and boost economy of the country .|||8~8~ArtOrDet~the
In the near future , children in the country would have lower chance to be educated .|||11~11~ArtOrDet~a
People need to be more practical and far-sighted to consider about the next generation in the country .|||10~11~Prep~
This can be done by building up fund for the country 's development , but not overdoing in funding the aged .|||7~8~Nn~funds
Some countries experience aging population , for example Japan , which is facing rapid change in aging population , having a 5.1 % 1 increase over the last 30 years .|||2~3~Vt~are experiencing	3~3~ArtOrDet~an	19~20~Vt~had
This figure is expected to increase as more elderly age reaching 65 years old .|||10~11~Vt~reach
Countries such as Singapore also face rapid aging population with decreasing fertility rate of 0.31 % 1 over the past 7 years .|||4~6~Vt~are also facing	10~10~ArtOrDet~a
This aging population thus affects the country 's economy because of the high retirement rate and the increased need in providing healthcare for the elderly .|||19~20~Prep~for
Firstly , Singapore is one of the many countries experiencing aging population , where median age increases from 16.9 years since 1970 to 19.51 years now and a decreasing fertility rate1 .|||10~10~ArtOrDet~an	14~14~ArtOrDet~the	16~17~Vt~has increased
Large number of retirees will be expected in the future .|||4~6~Vt~are
Secondly , as the country 's aging population increases , health problem becomes one of the concerns for the elderly .|||11~12~Nn~problems
For most developed and developing countries , healthcare would become an issue .|||8~9~Vt~will
As the cost of living increases , the cost on healthcare also increases concurrently .|||9~10~Prep~of
This will not be possible if limitation of public spending on the aged had been imposed .|||6~6~ArtOrDet~a	7~8~Prep~on
One example is the recent government project on the integrated resort , which create job opportunities and attract people to spend when it is completed .|||7~8~Prep~of	13~13~Vt~will
If the economy of the country is not growing , it may affect the businesses within the country , which in turn affects the employment rate .|||13~14~ArtOrDet~
Elders are eased in the aging process by technologies that retaining some of the capabilities when they were young .|||10~11~Vform~retain
This allows elders how to less physical capabilities in their work .|||2~3~ArtOrDet~the elderly
Elders are as capable of operating and monitoring equipments as the younger , stronger workers .|||0~1~ArtOrDet~The elderlys	8~9~Nn~equipment
Dockside cranes and forklift , both implementations of technologies , allow elders to handle the job even though they are not as fit as younger workers .|||3~4~Nn~forklifts	24~24~ArtOrDet~the
Thus , due to mechanization and automation , workers have smaller decrease in productivity due to age , allowing elders to work at age older than could be done in the past .|||10~10~ArtOrDet~a
Elders can have longer time to save up for retirement , decreasing potential financial problems .|||0~1~ArtOrDet~The elderly	3~3~ArtOrDet~a
Elders can be at ease knowing that they are able to be more financially capable at older age .|||0~1~ArtOrDet~The elderly	16~16~ArtOrDet~an
Secondly , elders can access communication network through specific communication devices are designed for elders ' usage .|||6~7~Nn~networks
These devices take into account elders ' tendency to fail to recall operation methods , contacts , schedule , location , etc. Much emphasis has been placed on shadow learning curves and user- friendliness to non-technically inclined user .|||17~20~Nn~schedules , locations	37~39~Nn~users
User interface and controls can self-descriptive and intuitive , achieved through extensive use of icons , grouping of related tasks and automatic hiding and showing of controls by intelligently determining likely intention of users .|||30~30~ArtOrDet~the
In the past , they would have to made physical visit at another geographical location or employ the help of their children to make a phone call or internet chat .|||7~11~Vt~had to visit physically
There are products in the market where the elder at home can wear a device like wearing necklace , on which there is a big red emergency button .|||16~19~ArtOrDet~a necklace
A modem installed at home will be wirelessly detect the pressing of emergency button and automatically dial for emergency service with location and elder 's medical information and family members as long as the elders press it within the detection range of the device .|||6~7~Vt~	12~12~ArtOrDet~the	18~18~ArtOrDet~the	19~20~Nn~services	21~21~ArtOrDet~the
Emergency respond unit are able to have detailed medical records of the patients before arrival , and apply the appropriate pre-treatment before sending the patient to hospital .|||2~3~Nn~units
In the past , elders would need someone else to look after them and response to emergency situation .|||17~18~Nn~situations
Elders ' might also be unaware or can not remember their own medical records .|||0~2~ArtOrDet~The elderly
Technologies thus make aging much safer for elders .|||7~8~ArtOrDet~the elderly
To help elders travel around , public transportation system had underwent changes catering towards them .|||6~6~ArtOrDet~the	9~10~Vt~
In Singapore , MRT stations are retrofitted with lift so that elders do not need to climb the staircase or take escalator .|||8~9~Nn~lifts	21~23~ArtOrDet~the escalator
Combined with policy that encourages priority of seats for elders , taking public transport have became a much more comfortable experience compared to the past .|||2~2~ArtOrDet~a	14~16~Vt~has become
One of the most challenging issues in the world now is on the ability to meet up with the increase in energy demand .|||11~12~Prep~
Current resources like the fossil fuel , which is used to generate electricity , will eventually be depleted in a few centuries ' time ( Mitenkov , Kodochigov , Vasyaev , Golovko , Ponomarev-Stepnoi , Kukharkin & Stolyarevskii , 2004 ) .|||3~4~ArtOrDet~
Although there are public opponents who do not wish for the nuclear reactors to be built due to potential threats , past incidences and cost , Generation IV VHTR aims to overcome these negative aspects with funding for the research and development work .|||26~26~ArtOrDet~the
This is one of the reasons why opponents from the public do not wish for nuclear reactor to be built .|||8~9~Prep~among	16~17~Nn~reactors
Therefore , the likelihood of reactors melting down because of terrorist shutting off coolant to the VHTR is brought to a minimum .|||10~11~Nn~terrorists	13~13~ArtOrDet~the
Furthermore , terrorist attacks could also come in many other forms ; one well-known example is the terrorist attack upon the United Stated on 11 September 2001 which does not involve nuclear reactors .|||28~29~Vt~did
Therefore , it can be concluded that if terrorist are determined to destroy a country , they could still use different methods even if nuclear reactors are present in the country .|||8~9~Nn~terrorists
In addition , since terrorist know that there will be extra precautions taken for the nuclear reactors , it will be more difficult for them to sabotage the country by means of the nuclear reactor .|||4~5~Nn~terrorists	34~35~Nn~reactors
In order to make the VHTR to be much less of being a target by the terrorist point of view , funding for research and development will help to look for simpler safety interlock systems and other materials which can withstand very high temperature to built the reactor .|||10~11~Prep~as	14~15~Prep~to	15~16~ArtOrDet~	16~17~Nn~terrorists	43~44~Nn~temperatures	45~46~Vform~build
The VHTR can reduce the occurrence of this incident by incorporating simple cooling system which does not need skilled operators ( Butler , 2004 ) .|||11~11~ArtOrDet~a
As for the other incident which happened in Chernobyl , it was a result of operators , who were not well trained in operation and safety , operating on a reactor which is inadequately designed ( World Nuclear Association , 2009 ) .|||32~33~Vt~was
These led to 56 deaths as of 2004 within four months as a result of the reactors ' explosion and released of radioactive materials into the surroundings ( World Nuclear Association , 2009 ) .|||20~20~ArtOrDet~the
It was noted that the explosion was due to coolant used , which is water , turning to steam and thus , suddenly increased the power produced and nuclear reaction ( World Nuclear Association , 2009 ) .|||9~9~ArtOrDet~the	13~14~Vt~was
For the case of the VHTR , helium will be the coolant .|||0~1~Prep~In
Hence , power surge of the reactor will be minimized , resulting in a decrease in the probability of reactor explosion .|||3~4~Nn~surges
There is no doubt that the opponents would not want the history to repeat itself , hence , they would not want nuclear reactors to be built .|||5~6~ArtOrDet~	10~11~ArtOrDet~
However , there are important lessons to be learnt from this accident which can be used in improving on the design of nuclear reactors .|||16~18~Vform~to improve	18~19~Prep~
Research and development for VHTR could help to ensure safer operation of nuclear reactor where safety aspects of the reactor would be better than before .|||3~4~Prep~of	4~4~ArtOrDet~the	12~12~ArtOrDet~a	20~21~Vt~will
According to Butler ( 2004 ) , approximately 400 nuclear power plants , each requires about US $ 1 billion , need to be built in order to fully be dependent on hydrogen instead of gasoline .|||14~15~Vform~requiring
In addition , research and testing works are required to look for materials which are able to resist the high temperature of the VHTR and the rapid impact of high energy neutrons in the reaction ( Butler , 2004 ) .|||6~7~Nn~work
Although there might be future technologies which are better than the VHTR , it is not definite as yet .|||7~8~Vt~will be	13~14~ArtOrDet~this
Therefore rather than waiting for a new technology to fully emerge , we should continue to carry out research work on enhancing the feasible technology present now , which is the nuclear reactor .|||3~4~Vform~wait	22~23~ArtOrDet~
Opponents may think that nuclear reactors are potential terrorist targets , but precautions are already taken to minimize the impact .|||13~14~Vt~have
Moreover , nuclear reactors are not the only source for the terrorist ; there are other ways in which terrorists can think of to destroy a country .|||9~10~Prep~of
Therefore , the VHTR can be said to be much safer than nuclear reactors in the past .|||14~15~Prep~of
Lastly , the cost to build and experiment on newly designed nuclear reactors may be high , but the advantage that it can produce more energy with the same amount of resources can far surpass the cost involved as the important issue now is to solve the problem of constantly increasing in energy demand .|||51~52~Prep~
It is mentioned in Butler 's article ( 2004 ) that building VHTR can involve lots of obstacles , but if engineers are able to overcome them , then energy production will be " safe , abundant , reliable , inexpensive and proliferation resistant " .|||12~12~ArtOrDet~the
Hence , I strongly recommend the further funding for the research and development for engineers to overcome the challenges involved in constructing the VHTR .|||5~6~ArtOrDet~	9~10~ArtOrDet~
Talking about the most serious accident ever in the nuclear power history , the 1986 Chernobyl Accident will come to everyone 's mind ( UNSCEAR , 2009 ) .|||8~9~ArtOrDet~
According to an authoritative report ( WNA , 2009 ) , there are 56 deaths confirmed to be directly related to the Chernobyl Accident by 2004.It is officially suggested that the Chernobyl Accident was the result of inadequately trained operators , a flawed design , as well as the lack of proper regard for safety ( WNA , 2009 ) .|||15~15~Vform~were	17~18~Vt~have been
As researchers pay more and more attention to applied psychology in the recent decades , people are wondering whether the use of psychology during the design process would have prevented some major engineering accident like the Chernobyl Accident .|||2~3~Vt~have been paying	16~17~Vt~have been	33~34~Nn~accidents
Evidence shows the use of psychology during the design process would largely reduce the chance of the Chernobyl Accident by raising the awareness of safety culture among the crew .|||11~11~Vt~have	12~13~Vform~reduced
Above all , applying psychology during design process could make people pay more attention to the importance of safety .|||6~6~ArtOrDet~the
It is identified by International Atomic Energy Agency ( IAEA ) in the post-accident report that deficient knowledge and awareness of safety through out the design , operating , and regulatory crew was one of the main causes that lead to the Chernobyl Accident ( IAEA , 1992 ) .|||4~4~ArtOrDet~the	16~16~ArtOrDet~the	25~32~Nn~crews	39~40~Vt~led
For the operating team , insufficient training of the operating staff caused a serious problem about the man-machine interaction .|||15~16~Prep~with
And for the regulatory team , they underestimated the potential danger in the nuclear test and therefore did not provide necessary supervision for the test .|||1~2~Prep~	20~20~ArtOrDet~the
( James , 2009 ) All these had contributed to the painful consequence of the Chernobyl Accident , and could be prevented if psychology had been applied to make the crew more responsible and pay more attention to the nuclear safety .|||7~8~Vt~	20~21~Vt~have been	38~39~ArtOrDet~
Furthermore paying more attention to the importance of safety is not enough psychology should be applied to guide the engineers to consider the safety of the nuclear plant from a system level .|||28~29~Prep~at	29~30~ArtOrDet~the
However , as all the other accidents of the same nature namely accidents of the complex high hazard systems the Chernobyl Accident is not the consequence of a single error , but the combination of the failure of various factors ( Wilpert , 2007 ) .|||22~23~Vt~was	32~33~ArtOrDet~a
To prevent the accident , it is important to consider the safety from a macro view by analyzing the whole nuclear system , including the interaction among human , organizational , and technological factors ( Meshkati , 1996 ) .|||1~2~Vt~have prevented	27~28~Nn~humans
On the other hand , not everyone agree with that applying psychology during engineering design process would have prevented the Chernobyl Accident .|||8~9~Prep~	13~13~ArtOrDet~the
First due to the wrong social perception of psychology and the social sciences , many people think psychology is only under the field of human arts and social science , which is totally unrelated to engineering , therefore they think there is no way applying psychology during the designing process will help to prevent those engineering accidents like this Chernobyl Accident .|||54~55~ArtOrDet~	58~59~ArtOrDet~the
Therefore a large part of the safety of the engineering systems lies on human activities .|||12~13~Prep~in
Applying psychology in engineering can help to make people more mature , responsible , and careful while dealing with complex high hazard systems like the nuclear reactors , which will definitely reduce the chance of accident .|||24~25~ArtOrDet~	33~34~Nn~chances	35~35~ArtOrDet~an
Another rebuttal against applying psychology is that some people argue that design errors is the main cause of the major engineering accidents , and applying psychology can not correct these design errors and prevent the accidents .|||18~19~ArtOrDet~
It is true that a lot of accidents are due to design errors , but it is also true that human is the factor that gives rise to the accidents in many cases .|||20~21~Nn~humans
If we can not improve the safety awareness among the crew , there is no point to merely solve the technical problem .|||18~19~Vform~solving
For instance , about a decade before the Chernobyl Accident , a nuclear accident occurred at the Three Mile Island , of which the technical cause was also the water cooling system ( WNA , 2001 ) .|||15~16~Prep~on	16~17~ArtOrDet~
The reason of why ten years later the similar technical defect still caused the Chernobyl Accident is because people did not pay enough attention to the nuclear safety and therefore did not learn a lesson from the prior accidents , which is not a pure technical problem and could be solved by applying psychology .|||2~3~Prep~	7~8~ArtOrDet~a	25~26~ArtOrDet~	43~44~ArtOrDet~	49~50~Vt~have been
Human is therefore of vital importance to the safety of engineering design process .|||0~1~Nn~Humans	12~13~Nn~processes
In conclusion , there is adequate evidence shows that the use of psychology during the design process would have largely reduced the chance for the Chernobyl Accident , considering psychology could help to make people pay more attention to the importance of safety and consider the safety of the whole nuclear in the design process .|||7~8~Vform~showing	23~24~Prep~of
Nevertheless , solely applying psychology during design process would not have totally prevented the Chernobyl Accident , because there are other factors that lead to the accident , for example , cultural factor .|||6~6~ArtOrDet~the	31~31~ArtOrDet~the
It is confirmed by UN ( WNA , 2009 ) that the Cold War isolation is one of the direct cause of the Chernobyl Accident .|||4~4~ArtOrDet~the	15~16~Vt~was	20~21~Nn~causes
As for construction cost , the supercritical water reactor is rather low .|||0~2~ArtOrDet~The
( Buongiorno & MacDonald , 2003 , p. 3 ) And as for material engineering , according to the corrosion and stress-corrosion cracking ( SCC ) susceptibility tests in supercritical water by scientist from MIT ( Massachusetts Institute of Technology ) and the University of Michigan ( J. McKinley , S. Teysseyre , G. S. Was , D. B. Mitton , H. Kim , J-K Kim , and R. M. Latanision,2003 ) , Two traditional austenitic steels ( 304L and 316L ) can be used for high temperature components in the SCWR .|||32~33~Nn~scientists	85~86~Prep~as
On the other hand , as for the Very High Temperature reactor , big safety provisions have to be considered to ensure the stability under high temperature and a multitude of coolants are needed .|||26~27~Nn~temperatures
Since the coolant for VHTR is inherit gas such as Helium and is not recyclable , a lot of energy and money will be consumed to separate it from air .|||4~4~ArtOrDet~the	6~6~ArtOrDet~an
Moreover , large amount of money needs to be spent to design and develop new related materials which can bear high temperature , high { neutron } [ HYPERLINK : http : //en.wikipedia.org/wiki/Neutron ] dose , and { corrosive } [ HYPERLINK : http : //en.wikipedia.org/wiki/Corrosion ] operating conditionsinside the VHT reactor ( IAEA 2004 ) .|||2~2~ArtOrDet~a	21~22~Nn~temperatures	34~35~Nn~doses
However , SCWR can be installed not only in shorter period but also by fewer workers , which will dramatically save the fixed costs of plant construction .|||2~2~ArtOrDet~the	8~9~Prep~within	9~9~ArtOrDet~a
In the meantime , the supercritical water reactor can also enjoy high thermal efficiency and energy conversion rate .|||8~11~Vt~also enjoys	15~15~ArtOrDet~a
And compared with Very High temperature reactor , the SCWR is a breeder one , thus it could produce more usable potentially usable fuel , which means less core material such as Uranium would be consumed to produce same quantities of electricity .|||3~7~ArtOrDet~the VHTR	38~38~ArtOrDet~the
Lastly , compared with VHTR , owing to its lower temperature , the SCWR needs fewer heats to trigger the reactions and keep the thermal inertia , which save more energy but also stay in the high thermal efficiency .|||4~4~ArtOrDet~the	16~17~Nn~heat
Since SCWR is a combine and expanse of old Light Water reactor and fossil fuel fired boiler , which are commonly deployed and widely used around the world .|||8~12~ArtOrDet~the old Light Water Reactor	13~13~ArtOrDet~the
Thus the basic theories and technologies for SCWR have been proven to be reliable for many years ( W. S. Yang , N. Zavaljevski ,2003 ) .|||7~7~ArtOrDet~the
But as for VHTRs , not a similar plant has been build yet ( the first VHTR will be completed in 2020s ) , a lot of new and untested concepts still need be verified , which may cause reactors with more nondeterminacies any incur more unexpected problems .|||11~12~Vform~built	21~22~Nn~2020
And as for VHTR , a lot technical challenges also remain to be unsettled .|||3~3~ArtOrDet~the
However , since SCWR 's simple and user-friendly design , almost from mature technologies of LWR ; therefore it will be more likely to be adapted soon by many countries , especially those developing countries without strong capital and mature technologies .|||3~3~ArtOrDet~the	15~15~ArtOrDet~the	19~21~Vt~is
Moreover , by processing electricity , hydrogen also can be generated with electrolysis by SCWR , which will support the development of hydrogen industry in following decades and make additional profits .|||14~14~ArtOrDet~the	22~22~ArtOrDet~the	25~25~ArtOrDet~the
Different from Light Water Reactors used around world today , the Super Critical Water Reactor can be more likely to slow down and catch 'fast neutrons ' , which means it would burn less nuclear fuels in a more thorough way .|||7~7~ArtOrDet~the	15~17~Vt~is
So the time for breakdown nuclear wastes will be decades instead of millenniums after SCWR will be applied .|||14~14~ArtOrDet~the	15~17~Vt~is
Further , compared with VHTR , the primary and secondary coolant of SCWR is just the same supercritical water which can be relatively easy to get and recycled .|||4~4~ArtOrDet~the	12~12~ArtOrDet~the	27~28~Vform~recycle
And because the super enthalpy of supercritical water , more energy will be transplanted but less unexpected by-products will be produced , which will certainly decrease the risk of contamination to the environment and enhance the integral efficiency of transplanting , which will effectually reduce the carbon emissions by burning less fossil fuels .|||45~46~ArtOrDet~
The safety of SCWR has been proven and can be better in the future .|||3~3~ArtOrDet~the
Thanks to the improvement of core design , less average core density will be required so that the possibility of devastating accidents such as core melting down happened will become extremely slim ; And because the dedicated moderator of SCWR , the boiling crisis of coolants under normal operating conditions can be also eliminated .|||5~5~ArtOrDet~the	24~24~ArtOrDet~the	39~39~ArtOrDet~the
Since the SCWR safety system is comparable with ABWR , scientists now are trying to combine SCWR with ESBWR-type passive safety systems together .|||16~16~ArtOrDet~the
If it can be integrated together , the safety of SCWR will be enhanced dramatically .|||10~10~ArtOrDet~the
To conclude , although some technical issues of Super Critical Water reactor are still under researching , personally I reckon that the SCWR would be the most promising reactor against other generation ones , in terms of performance , cost , feasibility , and impacts to the environment .|||8~8~ArtOrDet~the	14~16~Vform~being researched	44~45~Nn~impact	45~46~Prep~on
( Butler , D 239 ) GIF 's criteria of including a nuclear reactor design for consideration include : sustainable energy , competitive energy , safe and reliable systems and proliferation resistance .|||9~10~Prep~for
( " Very High Temperature Reactors " , section 5 ) Very-high-temperature reactor ( VHTR ) is one of the six generation IV reactor concepts proposed by the GIF .|||11~13~ArtOrDet~The Very-High-Temperature Reactor
VHTR requires an operating temperature of 1000oC,at high pressure where helium is the coolant being used .|||0~0~ArtOrDet~The
